ph,Hardness,Solids  ,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,,,
6.15565399,243.3122792,609.95,6.229493508,261.1398057,502.3346198,17.29636713,84.0352852,3.455267519,0,,,
,204.8904555,791.32,7.300211873,368.5164413,564.3086542,10.37978308,86.99097046,2.963135381,1,,,
7.563407707,202.8207706,101.30,5.262889445,257.2487626,372.3749691,18.38054226,79.09157775,4.346575558,1,,,
3.716080075,129.4229205,630.06,6.635245884,,592.8853591,15.18001312,56.32907628,4.500656275,1,,,
6.261933629,204.4191855,992.02,7.309705248,350.8284087,368.8592897,14.67845386,50.16874065,3.962235821,1,,,
8.099124189,224.2362594,909.54,9.275883603,,418.6062131,16.86863693,66.42009251,3.05593375,1,,,
9.560881105,238.2763129,173.09,5.610463548,377.383861,364.9655625,13.28103018,90.83490341,4.329129488,0,,,
8.316765884,214.3733941,18.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,1,,,
5.257999565,231.6762395,2.19184,5.922987934,,415.3229433,11.23501881,92.50284082,2.9531788,1,,,
9.092223456,181.1015092,978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,1,,,
5.53148047,248.0549583,491.22005,6.878358095,,535.0907152,11.32097583,78.22539556,4.451030626,1,,,
5.584086638,188.3133238,748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,1,,,
,213.9299465,410.50446,4.928583055,373.754794,434.7435815,15.73046236,85.45874297,4.184972029,1,,,
10.22386216,248.0717353,749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,1,,,
9.55796803,160.3288059,40.73693,10.05019929,,338.6021329,16.65961988,79.97987728,3.117959994,1,,,
8.635848719,203.3615226,672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,1,,,
,224.1710103,164.62123,5.435882682,381.2157477,366.656887,16.44971086,,2.265306106,1,,,
,118.9885791,285.58385,7.804173553,268.6469407,389.3755659,12.70604897,53.92884577,3.595017181,1,,,
8.345116087,209.7557384,534.04706,7.912523724,342.6175513,356.7010885,17.02111131,89.487015,4.563027391,1,,,
11.18028447,227.2314692,484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103,4.370561937,1,,,
8.064766781,206.8032674,788.25437,8.265557847,,354.9131062,18.21281525,99.11334924,4.677085517,0,,,
7.360640106,165.5207973,452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566,3.662291783,1,,,
8.701103403,254.4360467,8.45678,7.353099808,,433.7748146,10.10555239,51.81299115,4.054484711,1,,,
7.974521649,218.6933005,767.65668,8.110384501,,364.0982305,14.5257457,76.48591118,4.011718108,1,,,
4.585907976,211.8884864,808.92446,8.662860871,,422.1674246,17.17484523,76.08260331,2.586005902,1,,,
7.119824384,156.7049933,730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.50077834,3.445756223,1,,,
6.635162744,190.8647021,695.21844,7.057950699,,403.4936107,11.43102394,44.74845516,3.164913881,1,,,
,150.1749234,331.36196,6.838223471,299.4157813,379.7618348,19.37080718,76.50999553,4.413974183,1,,,
8.131085474,128.5104354,554.35057,6.002712224,,366.6545839,17.82931095,47.58284137,3.011238879,1,,,
7.496232208,205.3449822,388.00489,5.072557774,,444.6453523,13.2283111,70.30021265,4.777382337,1,,,
8.67691917,225.0046388,85.479604,5.254299373,358.4299864,394.2398813,19.00185348,53.34341969,2.291304254,1,,,
6.347271761,186.7328807,65.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,1,,,
6.728281888,224.5094927,489.72631,7.958638782,345.8436014,408.8892944,14.80434007,45.66310712,4.320820766,1,,,
7.0517858,211.0494061,980.60079,10.09479601,,315.1412672,20.39702184,56.65160379,4.268428858,1,,,
6.044246456,147.0449788,227.70387,6.359991782,,407.1654123,11.21883393,65.87145438,3.707504207,1,,,
9.181560007,273.8138067,41.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,1,,,
,213.7995557,741.80699,7.093524365,,425.2310857,10.81854107,83.87029622,1.946563779,1,,,
8.975464348,279.3571668,460.39813,6.204320859,,431.44399,12.88875905,63.8212371,2.43608559,1,,,
6.860376028,216.7199662,51.82452,6.292458114,333.3278403,355.5474655,18.3993587,50.24200843,4.0487091,1,,,
7.371050302,214.4966105,630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715,2.560299148,1,,,
6.895332008,149.6011201,289.13345,9.46824543,343.4015084,378.8529646,19.29042647,76.47373948,3.592112911,0,,,
,227.4350484,305.56741,10.33391789,,554.8200865,16.33169328,45.38281518,4.133422644,1,,,
5.703212531,216.3973167,30.14083,9.751574957,,458.101358,13.08557138,40.12541432,3.626334867,1,,,
